,Place,Term,Suffix,First_Letter,First_Two_Letter,First_Three_Letter,First_Four_Letter,Last_Letter,Last_Two_Letter,Last_Three_Letter,Last_Four_Letter,First_Letter_Type,Last_Letter_Type,Length,Second_Letter,Second_Letter_Type,Third_Letter,Third_Letter_Type,Fourth_Letter,Fourth_Letter_Type,Second_Last_Letter,Second_Last_Letter_Type,Third_Last_Letter,Third_Last_Letter_Type,Fourth_Last_Letter,Fourth_Last_Letter_Type
22, Cape Verde, Cape Verdeans,ans,C,Ca,Cap,Cape,e,de,rde,erde,consanent,vowel,10,a,vowel,p,consanent,e,vowel,d,consanent,r,consanent,e,vowel
23, Chad, Chadians,ians,C,Ch,Cha,Chad,d,ad,had,Chad,consanent,consanent,4,h,consanent,a,vowel,d,consanent,a,vowel,h,consanent,C,consanent
24, Chile, Chileans,ans,C,Ch,Chi,Chil,e,le,ile,hile,consanent,vowel,5,h,consanent,i,vowel,l,consanent,l,consanent,i,vowel,h,consanent
25, Christmas Island, Christmas Islanders,ers,C,Ch,Chr,Chri,d,nd,and,land,consanent,consanent,16,h,consanent,r,consanent,i,vowel,n,consanent,a,vowel,l,consanent
26, Colombia, Colombians,ns,C,Co,Col,Colo,a,ia,bia,mbia,consanent,vowel,8,o,vowel,l,consanent,o,vowel,i,vowel,b,consanent,m,consanent
27, Costa Rica, Costa Ricans,ns,C,Co,Cos,Cost,a,ca,ica,Rica,consanent,vowel,10,o,vowel,s,consanent,t,consanent,c,consanent,i,vowel,R,consanent
28, Croatia, Croatians,ns,C,Cr,Cro,Croa,a,ia,tia,atia,consanent,vowel,7,r,consanent,o,vowel,a,vowel,i,vowel,t,consanent,a,vowel
29, Cuba, Cubans,ns,C,Cu,Cub,Cuba,a,ba,uba,Cuba,consanent,vowel,4,u,vowel,b,consanent,a,vowel,b,consanent,u,vowel,C,consanent
30, Curacao, Curacaoans,ans,C,Cu,Cur,Cura,o,ao,cao,acao,consanent,vowel,7,u,vowel,r,consanent,a,vowel,a,vowel,c,consanent,a,vowel
31, Djibouti, Djiboutians,ans,D,Dj,Dji,Djib,i,ti,uti,outi,consanent,vowel,8,j,consanent,i,vowel,b,consanent,t,consanent,u,vowel,o,vowel
32, Ecuador, Ecuadorians,ians,E,Ec,Ecu,Ecua,r,or,dor,ador,vowel,consanent,7,c,consanent,u,vowel,a,vowel,o,vowel,d,consanent,a,vowel
33, Egypt, Egyptians,ians,E,Eg,Egy,Egyp,t,pt,ypt,gypt,vowel,consanent,5,g,consanent,y,consanent,p,consanent,p,consanent,y,consanent,g,consanent
34, Equatorial Guinea, Equatorial Guineans,ns,E,Eq,Equ,Equa,a,ea,nea,inea,vowel,vowel,17,q,consanent,u,vowel,a,vowel,e,vowel,n,consanent,i,vowel
35, Eritrea, Eritreans,ns,E,Er,Eri,Erit,a,ea,rea,trea,vowel,vowel,7,r,consanent,i,vowel,t,consanent,e,vowel,r,consanent,t,consanent
36, Estonia, Estonians,ns,E,Es,Est,Esto,a,ia,nia,onia,vowel,vowel,7,s,consanent,t,consanent,o,vowel,i,vowel,n,consanent,o,vowel
37, Ethiopia, Ethiopians,ns,E,Et,Eth,Ethi,a,ia,pia,opia,vowel,vowel,8,t,consanent,h,consanent,i,vowel,i,vowel,p,consanent,o,vowel
38, Europe, Europeans,ans,E,Eu,Eur,Euro,e,pe,ope,rope,vowel,vowel,6,u,vowel,r,consanent,o,vowel,p,consanent,o,vowel,r,consanent
39, Gabon, Gabonese,ese,G,Ga,Gab,Gabo,n,on,bon,abon,consanent,consanent,5,a,vowel,b,consanent,o,vowel,o,vowel,b,consanent,a,vowel
40, Gambia, Gambians,ns,G,Ga,Gam,Gamb,a,ia,bia,mbia,consanent,vowel,6,a,vowel,m,consanent,b,consanent,i,vowel,b,consanent,m,consanent
41, Georgia, Georgians,ns,G,Ge,Geo,Geor,a,ia,gia,rgia,consanent,vowel,7,e,vowel,o,vowel,r,consanent,i,vowel,g,consanent,r,consanent
42, Ghana, Ghanaians,ians,G,Gh,Gha,Ghan,a,na,ana,hana,consanent,vowel,5,h,consanent,a,vowel,n,consanent,n,consanent,a,vowel,h,consanent
43, Greenland, Greenlanders,ers,G,Gr,Gre,Gree,d,nd,and,land,consanent,consanent,9,r,consanent,e,vowel,e,vowel,n,consanent,a,vowel,l,consanent
44, Guatemala, Guatemalans,ns,G,Gu,Gua,Guat,a,la,ala,mala,consanent,vowel,9,u,vowel,a,vowel,t,consanent,l,consanent,a,vowel,m,consanent
45, Guinea, Guineans,ns,G,Gu,Gui,Guin,a,ea,nea,inea,consanent,vowel,6,u,vowel,i,vowel,n,consanent,e,vowel,n,consanent,i,vowel
46, Haiti, Haitians,ans,H,Ha,Hai,Hait,i,ti,iti,aiti,consanent,vowel,5,a,vowel,i,vowel,t,consanent,t,consanent,i,vowel,a,vowel
47, Iceland, Icelanders,ers,I,Ic,Ice,Icel,d,nd,and,land,vowel,consanent,7,c,consanent,e,vowel,l,consanent,n,consanent,a,vowel,l,consanent
48, India, Indians,ns,I,In,Ind,Indi,a,ia,dia,ndia,vowel,vowel,5,n,consanent,d,consanent,i,vowel,i,vowel,d,consanent,n,consanent
49, Indonesia, Indonesians,ns,I,In,Ind,Indo,a,ia,sia,esia,vowel,vowel,9,n,consanent,d,consanent,o,vowel,i,vowel,s,consanent,e,vowel
50, Iran, Iranians,ians,I,Ir,Ira,Iran,n,an,ran,Iran,vowel,consanent,4,r,consanent,a,vowel,n,consanent,a,vowel,r,consanent,I,vowel
51, Iraq, Iraqis,is,I,Ir,Ira,Iraq,q,aq,raq,Iraq,vowel,consanent,4,r,consanent,a,vowel,q,consanent,a,vowel,r,consanent,I,vowel
52, Israel, Israelis,is,I,Is,Isr,Isra,l,el,ael,rael,vowel,consanent,6,s,consanent,r,consanent,a,vowel,e,vowel,a,vowel,r,consanent
53, Jamaica, Jamaicans,ns,J,Ja,Jam,Jama,a,ca,ica,aica,consanent,vowel,7,a,vowel,m,consanent,a,vowel,c,consanent,i,vowel,a,vowel
54, Japan, Japanese,ese,J,Ja,Jap,Japa,n,an,pan,apan,consanent,consanent,5,a,vowel,p,consanent,a,vowel,a,vowel,p,consanent,a,vowel
55, Jordan, Jordanians,ians,J,Jo,Jor,Jord,n,an,dan,rdan,consanent,consanent,6,o,vowel,r,consanent,d,consanent,a,vowel,d,consanent,r,consanent
56, Kenya, Kenyans,ns,K,Ke,Ken,Keny,a,ya,nya,enya,consanent,vowel,5,e,vowel,n,consanent,y,consanent,y,consanent,n,consanent,e,vowel
57, Kuwait, Kuwaitis,is,K,Ku,Kuw,Kuwa,t,it,ait,wait,consanent,consanent,6,u,vowel,w,consanent,a,vowel,i,vowel,a,vowel,w,consanent
58, Latvia, Latvians,ns,L,La,Lat,Latv,a,ia,via,tvia,consanent,vowel,6,a,vowel,t,consanent,v,consanent,i,vowel,v,consanent,t,consanent
59, Liberia, Liberians,ns,L,Li,Lib,Libe,a,ia,ria,eria,consanent,vowel,7,i,vowel,b,consanent,e,vowel,i,vowel,r,consanent,e,vowel
60, Libya, Libyans,ns,L,Li,Lib,Liby,a,ya,bya,ibya,consanent,vowel,5,i,vowel,b,consanent,y,consanent,y,consanent,b,consanent,i,vowel
61, Lithuania, Lithuanians,ns,L,Li,Lit,Lith,a,ia,nia,ania,consanent,vowel,9,i,vowel,t,consanent,h,consanent,i,vowel,n,consanent,a,vowel
62, Malawi, Malawians,ans,M,Ma,Mal,Mala,i,wi,awi,lawi,consanent,vowel,6,a,vowel,l,consanent,a,vowel,w,consanent,a,vowel,l,consanent
63, Malaysia, Malaysians,ns,M,Ma,Mal,Mala,a,ia,sia,ysia,consanent,vowel,8,a,vowel,l,consanent,a,vowel,i,vowel,s,consanent,y,consanent
64, Mali, Malians,ans,M,Ma,Mal,Mali,i,li,ali,Mali,consanent,vowel,4,a,vowel,l,consanent,i,vowel,l,consanent,a,vowel,M,consanent
65, Mauritania, Mauritanians,ns,M,Ma,Mau,Maur,a,ia,nia,ania,consanent,vowel,10,a,vowel,u,vowel,r,consanent,i,vowel,n,consanent,a,vowel
66, Moldova, Moldovans,ns,M,Mo,Mol,Mold,a,va,ova,dova,consanent,vowel,7,o,vowel,l,consanent,d,consanent,v,consanent,o,vowel,d,consanent
67, Namibia, Namibians,ns,N,Na,Nam,Nami,a,ia,bia,ibia,consanent,vowel,7,a,vowel,m,consanent,i,vowel,i,vowel,b,consanent,i,vowel
68, Nepal, Nepalese,ese,N,Ne,Nep,Nepa,l,al,pal,epal,consanent,consanent,5,e,vowel,p,consanent,a,vowel,a,vowel,p,consanent,e,vowel
69, Nicaragua, Nicaraguans,ns,N,Ni,Nic,Nica,a,ua,gua,agua,consanent,vowel,9,i,vowel,c,consanent,a,vowel,u,vowel,g,consanent,a,vowel
70, Niger, Nigeriens,iens,N,Ni,Nig,Nige,r,er,ger,iger,consanent,consanent,5,i,vowel,g,consanent,e,vowel,e,vowel,g,consanent,i,vowel
71, Nigeria, Nigerians,ns,N,Ni,Nig,Nige,a,ia,ria,eria,consanent,vowel,7,i,vowel,g,consanent,e,vowel,i,vowel,r,consanent,e,vowel
72, Norfolk Island, Norfolk Islanders,ers,N,No,Nor,Norf,d,nd,and,land,consanent,consanent,14,o,vowel,r,consanent,f,consanent,n,consanent,a,vowel,l,consanent
73, North Korea, North Koreans,ns,N,No,Nor,Nort,a,ea,rea,orea,consanent,vowel,11,o,vowel,r,consanent,t,consanent,e,vowel,r,consanent,o,vowel
74, Oman, Omanis,is,O,Om,Oma,Oman,n,an,man,Oman,vowel,consanent,4,m,consanent,a,vowel,n,consanent,a,vowel,m,consanent,O,vowel
75, Pakistan, Pakistanis,is,P,Pa,Pak,Paki,n,an,tan,stan,consanent,consanent,8,a,vowel,k,consanent,i,vowel,a,vowel,t,consanent,s,consanent
76, Panama, Panamanians,nians,P,Pa,Pan,Pana,a,ma,ama,nama,consanent,vowel,6,a,vowel,n,consanent,a,vowel,m,consanent,a,vowel,n,consanent
77, Paraguay, Paraguayans,ans,P,Pa,Par,Para,y,ay,uay,guay,consanent,consanent,8,a,vowel,r,consanent,a,vowel,a,vowel,u,vowel,g,consanent
79, Qatar, Qataris,is,Q,Qa,Qat,Qata,r,ar,tar,atar,consanent,consanent,5,a,vowel,t,consanent,a,vowel,a,vowel,t,consanent,a,vowel
80, Romania, Romanians,ns,R,Ro,Rom,Roma,a,ia,nia,ania,consanent,vowel,7,o,vowel,m,consanent,a,vowel,i,vowel,n,consanent,a,vowel
81, Russia, Russians,ns,R,Ru,Rus,Russ,a,ia,sia,ssia,consanent,vowel,6,u,vowel,s,consanent,s,consanent,i,vowel,s,consanent,s,consanent
82, Rwanda, Rwandans,ns,R,Rw,Rwa,Rwan,a,da,nda,anda,consanent,vowel,6,w,consanent,a,vowel,n,consanent,d,consanent,n,consanent,a,vowel
83, Saint Lucia, Saint Lucians,ns,S,Sa,Sai,Sain,a,ia,cia,ucia,consanent,vowel,11,a,vowel,i,vowel,n,consanent,i,vowel,c,consanent,u,vowel
84, Senegal, Senegalese,ese,S,Se,Sen,Sene,l,al,gal,egal,consanent,consanent,7,e,vowel,n,consanent,e,vowel,a,vowel,g,consanent,e,vowel
85, Serbia, Serbians,ns,S,Se,Ser,Serb,a,ia,bia,rbia,consanent,vowel,6,e,vowel,r,consanent,b,consanent,i,vowel,b,consanent,r,consanent
86, Sierra Leone, Sierra Leoneans,ans,S,Si,Sie,Sier,e,ne,one,eone,consanent,vowel,12,i,vowel,e,vowel,r,consanent,n,consanent,o,vowel,e,vowel
87, Singapore, Singaporeans,ans,S,Si,Sin,Sing,e,re,ore,pore,consanent,vowel,9,i,vowel,n,consanent,g,consanent,r,consanent,o,vowel,p,consanent
88, South Africa, South Africans,ns,S,So,Sou,Sout,a,ca,ica,rica,consanent,vowel,12,o,vowel,u,vowel,t,consanent,c,consanent,i,vowel,r,consanent
89, South Korea, South Koreans,ns,S,So,Sou,Sout,a,ea,rea,orea,consanent,vowel,11,o,vowel,u,vowel,t,consanent,e,vowel,r,consanent,o,vowel
90, South Sudan, South Sudanese,ese,S,So,Sou,Sout,n,an,dan,udan,consanent,consanent,11,o,vowel,u,vowel,t,consanent,a,vowel,d,consanent,u,vowel
91, Sri Lanka, Sri Lankans,ns,S,Sr,Sri,Sri ,a,ka,nka,anka,consanent,vowel,9,r,consanent,i,vowel, ,consanent,k,consanent,n,consanent,a,vowel
92, Sudan, Sudanese,ese,S,Su,Sud,Suda,n,an,dan,udan,consanent,consanent,5,u,vowel,d,consanent,a,vowel,a,vowel,d,consanent,u,vowel
94, Syria, Syrians,ns,S,Sy,Syr,Syri,a,ia,ria,yria,consanent,vowel,5,y,consanent,r,consanent,i,vowel,i,vowel,r,consanent,y,consanent
95, Taiwan, Taiwanese,ese,T,Ta,Tai,Taiw,n,an,wan,iwan,consanent,consanent,6,a,vowel,i,vowel,w,consanent,a,vowel,w,consanent,i,vowel
96, Tanzania, Tanzanians,ns,T,Ta,Tan,Tanz,a,ia,nia,ania,consanent,vowel,8,a,vowel,n,consanent,z,consanent,i,vowel,n,consanent,a,vowel
98, Tunisia, Tunisians,ns,T,Tu,Tun,Tuni,a,ia,sia,isia,consanent,vowel,7,u,vowel,n,consanent,i,vowel,i,vowel,s,consanent,i,vowel
99, Uganda, Ugandans,ns,U,Ug,Uga,Ugan,a,da,nda,anda,vowel,vowel,6,g,consanent,a,vowel,n,consanent,d,consanent,n,consanent,a,vowel
100, Uruguay, Uruguayans,ans,U,Ur,Uru,Urug,y,ay,uay,guay,vowel,consanent,7,r,consanent,u,vowel,g,consanent,a,vowel,u,vowel,g,consanent
101, Venezuela, Venezuelans,ns,V,Ve,Ven,Vene,a,la,ela,uela,consanent,vowel,9,e,vowel,n,consanent,e,vowel,l,consanent,e,vowel,u,vowel
102, Vietnam, Vietnamese,ese,V,Vi,Vie,Viet,m,am,nam,tnam,consanent,consanent,7,i,vowel,e,vowel,t,consanent,a,vowel,n,consanent,t,consanent
103, Yemen, Yemenis,is,Y,Ye,Yem,Yeme,n,en,men,emen,consanent,consanent,5,e,vowel,m,consanent,e,vowel,e,vowel,m,consanent,e,vowel
104, Zambia, Zambians,ns,Z,Za,Zam,Zamb,a,ia,bia,mbia,consanent,vowel,6,a,vowel,m,consanent,b,consanent,i,vowel,b,consanent,m,consanent
105, Zimbabwe, Zimbabweans,ans,Z,Zi,Zim,Zimb,e,we,bwe,abwe,consanent,vowel,8,i,vowel,m,consanent,b,consanent,w,consanent,b,consanent,a,vowel
106,Aachen,Aacheners,ers,A,Aa,Aac,Aach,n,en,hen,chen,vowel,consanent,6,a,vowel,c,consanent,h,consanent,e,vowel,h,consanent,c,consanent
107,Aalborg,Aalborgers,ers,A,Aa,Aal,Aalb,g,rg,org,borg,vowel,consanent,7,a,vowel,l,consanent,b,consanent,r,consanent,o,vowel,b,consanent
109,Aarau,Aarauer,er,A,Aa,Aar,Aara,u,au,rau,arau,vowel,vowel,5,a,vowel,r,consanent,a,vowel,a,vowel,r,consanent,a,vowel
110,Aarhus,Aarhusians,ians,A,Aa,Aar,Aarh,s,us,hus,rhus,vowel,consanent,6,a,vowel,r,consanent,h,consanent,u,vowel,h,consanent,r,consanent
111,Aba,Abaites,ites,A,Ab,Aba,Aba,a,ba,Aba,a,vowel,vowel,3,b,consanent,a,vowel,,,b,consanent,A,vowel,,
112,Abaco,Abaconians,nians,A,Ab,Aba,Abac,o,co,aco,baco,vowel,vowel,5,b,consanent,a,vowel,c,consanent,c,consanent,a,vowel,b,consanent
113,Abadan,Abadani,i,A,Ab,Aba,Abad,n,an,dan,adan,vowel,consanent,6,b,consanent,a,vowel,d,consanent,a,vowel,d,consanent,a,vowel
114,Abai,Abaianos,anos,A,Ab,Aba,Abai,i,ai,bai,Abai,vowel,vowel,4,b,consanent,a,vowel,i,vowel,a,vowel,b,consanent,A,vowel
115,Abakaliki,Abakalikians,ans,A,Ab,Aba,Abak,i,ki,iki,liki,vowel,vowel,9,b,consanent,a,vowel,k,consanent,k,consanent,i,vowel,l,consanent
117,Abbottabad,Abbottabadi,i,A,Ab,Abb,Abbo,d,ad,bad,abad,vowel,consanent,10,b,consanent,b,consanent,o,vowel,a,vowel,b,consanent,a,vowel
118,Abeokuta,Abeokutans,ns,A,Ab,Abe,Abeo,a,ta,uta,kuta,vowel,vowel,8,b,consanent,e,vowel,o,vowel,t,consanent,u,vowel,k,consanent
119,Abha,Abhans,ns,A,Ab,Abh,Abha,a,ha,bha,Abha,vowel,vowel,4,b,consanent,h,consanent,a,vowel,h,consanent,b,consanent,A,vowel
120,Abia,Abians,ns,A,Ab,Abi,Abia,a,ia,bia,Abia,vowel,vowel,4,b,consanent,i,vowel,a,vowel,i,vowel,b,consanent,A,vowel
121,Abja-Paluoja,Abja-Paluojaans,ans,A,Ab,Abj,Abja,a,ja,oja,uoja,vowel,vowel,12,b,consanent,j,consanent,a,vowel,j,consanent,o,vowel,u,vowel
122,Abomey,Abomeyans,ans,A,Ab,Abo,Abom,y,ey,mey,omey,vowel,consanent,6,b,consanent,o,vowel,m,consanent,e,vowel,m,consanent,o,vowel
123,Abony,Abonyi,i,A,Ab,Abo,Abon,y,ny,ony,bony,vowel,consanent,5,b,consanent,o,vowel,n,consanent,n,consanent,o,vowel,b,consanent
124,Abovyan,Abovyanetsi,etsi,A,Ab,Abo,Abov,n,an,yan,vyan,vowel,consanent,7,b,consanent,o,vowel,v,consanent,a,vowel,y,consanent,v,consanent
125,Aby,Abyans,ans,A,Ab,Aby,Aby,y,by,Aby,y,vowel,consanent,3,b,consanent,y,consanent,,,b,consanent,A,vowel,,
126,Acarigua,Acariguanos,nos,A,Ac,Aca,Acar,a,ua,gua,igua,vowel,vowel,8,c,consanent,a,vowel,r,consanent,u,vowel,g,consanent,i,vowel
127,Accra,Accraites,ites,A,Ac,Acc,Accr,a,ra,cra,ccra,vowel,vowel,5,c,consanent,c,consanent,r,consanent,r,consanent,c,consanent,c,consanent
128,Aceh,Acehnese,nese,A,Ac,Ace,Aceh,h,eh,ceh,Aceh,vowel,consanent,4,c,consanent,e,vowel,h,consanent,e,vowel,c,consanent,A,vowel
129,Adama,Adamans,ns,A,Ad,Ada,Adam,a,ma,ama,dama,vowel,vowel,5,d,consanent,a,vowel,m,consanent,m,consanent,a,vowel,d,consanent
130,Adamawa,Adamawans,ns,A,Ad,Ada,Adam,a,wa,awa,mawa,vowel,vowel,7,d,consanent,a,vowel,m,consanent,w,consanent,a,vowel,m,consanent
131,Adana,Adanali,li,A,Ad,Ada,Adan,a,na,ana,dana,vowel,vowel,5,d,consanent,a,vowel,n,consanent,n,consanent,a,vowel,d,consanent
132,Addis Ababa,Addis Ababans,ns,A,Ad,Add,Addi,a,ba,aba,baba,vowel,vowel,11,d,consanent,d,consanent,i,vowel,b,consanent,a,vowel,b,consanent
133,Adelaide,Adelaideans,ans,A,Ad,Ade,Adel,e,de,ide,aide,vowel,vowel,8,d,consanent,e,vowel,l,consanent,d,consanent,i,vowel,a,vowel
134,Aden,Adeni,i,A,Ad,Ade,Aden,n,en,den,Aden,vowel,consanent,4,d,consanent,e,vowel,n,consanent,e,vowel,d,consanent,A,vowel
135,Adi Keyh,Adi Keyhans,ans,A,Ad,Adi,Adi ,h,yh,eyh,Keyh,vowel,consanent,8,d,consanent,i,vowel, ,consanent,y,consanent,e,vowel,K,consanent
136,Adiyaman,Adiyamanli,li,A,Ad,Adi,Adiy,n,an,man,aman,vowel,consanent,8,d,consanent,i,vowel,y,consanent,a,vowel,m,consanent,a,vowel
137,Adliswil,Adliswiler,er,A,Ad,Adl,Adli,l,il,wil,swil,vowel,consanent,8,d,consanent,l,consanent,i,vowel,i,vowel,w,consanent,s,consanent
139,Adygea,Adygeans,ns,A,Ad,Ady,Adyg,a,ea,gea,ygea,vowel,vowel,6,d,consanent,y,consanent,g,consanent,e,vowel,g,consanent,y,consanent
140,Afar,Afars,s,A,Af,Afa,Afar,r,ar,far,Afar,vowel,consanent,4,f,consanent,a,vowel,r,consanent,a,vowel,f,consanent,A,vowel
141,Africa, Africans,ns,A,Af,Afr,Afri,a,ca,ica,rica,vowel,vowel,6,f,consanent,r,consanent,i,vowel,c,consanent,i,vowel,r,consanent
142,Afyonkarahisar,Afyonkarahisarli,li,A,Af,Afy,Afyo,r,ar,sar,isar,vowel,consanent,14,f,consanent,y,consanent,o,vowel,a,vowel,s,consanent,i,vowel
143,Agadir,Agadiris,is,A,Ag,Aga,Agad,r,ir,dir,adir,vowel,consanent,6,g,consanent,a,vowel,d,consanent,i,vowel,d,consanent,a,vowel
144,Agarak,Agaraktsi,tsi,A,Ag,Aga,Agar,k,ak,rak,arak,vowel,consanent,6,g,consanent,a,vowel,r,consanent,a,vowel,r,consanent,a,vowel
145,Agdam,Agdami,i,A,Ag,Agd,Agda,m,am,dam,gdam,vowel,consanent,5,g,consanent,d,consanent,a,vowel,a,vowel,d,consanent,g,consanent
146,Agdash,Agdashi,i,A,Ag,Agd,Agda,h,sh,ash,dash,vowel,consanent,6,g,consanent,d,consanent,a,vowel,s,consanent,a,vowel,d,consanent
147,Agen,Agenais,ais,A,Ag,Age,Agen,n,en,gen,Agen,vowel,consanent,4,g,consanent,e,vowel,n,consanent,e,vowel,g,consanent,A,vowel
148,Ageo,Ageons,ns,A,Ag,Age,Ageo,o,eo,geo,Ageo,vowel,vowel,4,g,consanent,e,vowel,o,vowel,e,vowel,g,consanent,A,vowel
149,Agjabadi,Agjabadians,ans,A,Ag,Agj,Agja,i,di,adi,badi,vowel,vowel,8,g,consanent,j,consanent,a,vowel,d,consanent,a,vowel,b,consanent
150,Agra,Agrai,i,A,Ag,Agr,Agra,a,ra,gra,Agra,vowel,vowel,4,g,consanent,r,consanent,a,vowel,r,consanent,g,consanent,A,vowel
151,Agri,Agrili,li,A,Ag,Agr,Agri,i,ri,gri,Agri,vowel,vowel,4,g,consanent,r,consanent,i,vowel,r,consanent,g,consanent,A,vowel
152,Aguadilla,Aguadillanos,nos,A,Ag,Agu,Agua,a,la,lla,illa,vowel,vowel,9,g,consanent,u,vowel,a,vowel,l,consanent,l,consanent,i,vowel
153,Aguadulce,Aguadulcenos,nos,A,Ag,Agu,Agua,e,ce,lce,ulce,vowel,vowel,9,g,consanent,u,vowel,a,vowel,c,consanent,l,consanent,u,vowel
155,Ahmedabad,Ahmedabadi,i,A,Ah,Ahm,Ahme,d,ad,bad,abad,vowel,consanent,9,h,consanent,m,consanent,e,vowel,a,vowel,b,consanent,a,vowel
156,Ahmedpur East,Ahmedpur Easti,i,A,Ah,Ahm,Ahme,t,st,ast,East,vowel,consanent,13,h,consanent,m,consanent,e,vowel,s,consanent,a,vowel,E,vowel
158,Ahvaz,Ahvazi,i,A,Ah,Ahv,Ahva,z,az,vaz,hvaz,vowel,consanent,5,h,consanent,v,consanent,a,vowel,a,vowel,v,consanent,h,consanent
159,Aileu,Aileuans,ans,A,Ai,Ail,Aile,u,eu,leu,ileu,vowel,vowel,5,i,vowel,l,consanent,e,vowel,e,vowel,l,consanent,i,vowel
160,Ain Defla,Ain Deflais,is,A,Ai,Ain,Ain ,a,la,fla,efla,vowel,vowel,9,i,vowel,n,consanent, ,consanent,l,consanent,f,consanent,e,vowel
161,Ain Temouchent,Ain Temouchentois,ois,A,Ai,Ain,Ain ,t,nt,ent,hent,vowel,consanent,14,i,vowel,n,consanent, ,consanent,n,consanent,e,vowel,h,consanent
